distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
838.586,850.728,GW790,3.776737998,-71.45457721,461,460,6.35,42000,12,
850.728,853.476,GW800,3.776784425,-71.45468234,460.5,460,6.35,42000,12,
853.476,865.526,GW810,3.776794892,-71.45470615,460,460,6.35,42000,12,
865.526,877.083,GW820,3.77683996,-71.45481093,459.5,460,6.35,42000,12,
877.083,889.075,GW830,3.776882704,-71.45491162,459,460,6.35,42000,12,
889.075,901.236,GW840,3.776927058,-71.45501611,458.5,460,6.35,42000,12,
901.236,913.125,GW850,3.776974964,-71.45512075,458,460,6.35,42000,12,
913.125,925.149,GW860,3.777027996,-71.45522001,457.5,460,6.35,42000,12,
925.149,937.158,GW870,3.77708163,-71.45532039,457,460,6.35,42000,12,
937.158,949.368,GW880,3.777135266,-71.45542061,456.5,460,6.35,42000,12,
949.368,961.565,GW890,3.777189816,-71.4555225,456,460,6.35,42000,12,
961.565,973.767,GW900,3.777243956,-71.45562447,455.5,460,6.35,42000,12,
973.767,985.961,GW910,3.77729794,-71.45572657,455,460,6.35,42000,12,
985.961,998.166,GW920,3.777351896,-71.4558286,454.5,460,6.35,42000,12,
998.166,1009.829,GW930,3.77740648,-71.45593042,454,460,6.35,42000,12,
1009.829,1022.048,GW940,3.777459179,-71.45602742,453.5,460,6.35,42000,12,
1022.048,1022.427,GW950,3.777514391,-71.45612905,453,460,6.35,42000,12,
1022.427,1034.046,GW960,3.777516104,-71.4561322,452.5,460,6.35,42000,12,
1034.046,1045.622,GW970,3.777568609,-71.45622884,452,460,6.35,42000,12,
1045.622,1051.736,GW980,3.777620916,-71.45632512,451.5,460,6.35,42000,12,
1051.736,1063.322,GW990,3.777648542,-71.45637597,451,460,6.35,42000,12,
1063.322,1074.933,GW1000,3.777700894,-71.45647234,450.5,460,6.35,42000,12,
1074.933,1081.061,GW1010,3.777753361,-71.45656891,450,460,6.35,42000,12,
