dist.del reg. [m],a sold.aguas arriba [m],no.de junta,long. de junta [m],esp. [mm],evento / comentario,tipo de sold.,Pos.horaria,pared int.,dim_o,d [%],h [%],Ovality ratio,h [arruga/ond.] [mm],largo [mm],ancho [mm],ERF B31G,Junta No. Full,latitud,longitud
5318.246,,4940,11.951,9.65,Soldadura,sin costura,,,,,,,,,,,4940,3.784775976,-71.49513912
5319.160,,,,,Soporte externo,,6:00,,,,,,,,,,4940,3.784777519,-71.49514764
5330.196,,4950,12.012,9.65,Soldadura,sin costura,,,,,,,,,,,4950,3.784796144,-71.49525042
5331.086,,,,,Soporte externo,,6:00,,,,,,,,,,4950,3.784797646,-71.49525871
5341.154,,,,,Soporte externo,,6:00,,,,,,,,,,4950,3.784814579,-71.49535249
5342.208,,4960,12.001,9.65,Soldadura,sin costura,,,,,,,,,,,4960,3.78481635,-71.49536231
5350.836,,,,,Soporte externo,,6:00,,,,,,,,,,4960,3.784829461,-71.49544292
5354.210,,4970,11.994,9.65,Soldadura,sin costura,,,,,,,,,,,4970,3.784834686,-71.49547443
5360.876,,,,,Soporte externo,,6:00,,,,,,,,,,4970,3.784845101,-71.49553666
5366.204,,4980,12.026,9.65,Soldadura,sin costura,,,,,,,,,,,4980,3.784853933,-71.49558631
5371.118,,,,,Soporte externo,,6:00,,,,,,,,,,4980,3.78486277,-71.4956319
5378.230,,4990,11.981,9.65,Soldadura,sin costura,,,,,,,,,,,4990,3.784888698,-71.49569403
5381.337,,,,,Soporte externo,,6:00,,,,,,,,,,4990,3.784900229,-71.49572108
5390.211,,5000,12.039,9.65,Soldadura,sin costura,,,,,,,,,,,5000,3.784934252,-71.49579788
5391.504,,,,,Soporte externo,,6:00,,,,,,,,,,5000,3.784939248,-71.49580905
5401.726,,,,,Soporte externo,,6:00,,,,,,,,,,5000,3.784978833,-71.49589734
5402.250,,5010,12.039,9.65,Soldadura,sin costura,,,,,,,,,,,5010,3.784980877,-71.49590186
5411.849,,,,,Soporte externo,,6:00,,,,,,,,,,5010,3.785018314,-71.49598464
5414.289,,5020,11.974,9.65,Soldadura,sin costura,,,,,,,,,,,5020,3.78502783,-71.49600569
5422.040,,,,,Soporte externo,,6:00,,,,,,,,,,5020,3.785058014,-71.49607256
5426.263,,5030,12.004,9.65,Soldadura,sin costura,,,,,,,,,,,5030,3.785074437,-71.496109
5432.036,,,,,Soporte externo,,6:00,,,,,,,,,,5030,3.785096539,-71.49615898
5438.267,,5040,12.018,9.65,Soldadura,sin costura,,,,,,,,,,,5040,3.785120283,-71.49621296
5442.302,,,,,Soporte externo,,6:00,,,,,,,,,,5040,3.785135658,-71.49624793
5450.286,,5050,12.028,9.65,Soldadura,sin costura,,,,,,,,,,,5050,3.785166215,-71.49631704
5452.693,,,,,Soporte externo,,6:00,,,,,,,,,,5050,3.785175473,-71.49633786
5462.313,,5060,11.996,9.65,Soldadura,sin costura,,,,,,,,,,,5060,3.78521253,-71.49642104
5462.863,,,,,Soporte externo,,6:00,,,,,,,,,,5060,3.78521465,-71.49642579
5472.416,,,,,Soporte externo,,6:00,,,,,,,,,,5060,3.785251477,-71.49650838
5474.309,,5070,11.97,9.65,Soldadura,sin costura,,,,,,,,,,,5070,3.785258775,-71.49652474
5482.510,,,,,Soporte externo,,6:00,,,,,,,,,,5070,3.785290391,-71.49659564
5486.279,,5080,11.991,9.65,Soldadura,sin costura,,,,,,,,,,,5080,3.785304897,-71.49662823
5492.141,,,,,Soporte externo,,6:00,,,,,,,,,,5080,3.785327419,-71.49667894
5498.270,,5090,11.98,9.65,Soldadura,sin costura,,,,,,,,,,,5090,3.785350831,-71.49673202
5503.555,,,,,Soporte externo,,6:00,,,,,,,,,,5090,3.785370967,-71.49677781
5510.250,,5100,12.012,9.65,Soldadura,sin costura,,,,,,,,,,,5100,3.785396472,-71.49683582
5513.739,,,,,Soporte externo,,6:00,,,,,,,,,,5100,3.785409764,-71.49686606
5522.262,,5110,12.043,9.65,Soldadura,sin costura,,,,,,,,,,,5110,3.785442237,-71.49693991
5523.242,,,,,Soporte externo,,6:00,,,,,,,,,,5110,3.785445971,-71.4969484
5533.425,,,,,Soporte externo,,6:00,,,,,,,,,,5110,3.785484765,-71.49703663
5534.305,,5120,12.042,9.65,Soldadura,sin costura,,,,,,,,,,,5120,3.785488117,-71.49704426
5543.570,,,,,Soporte externo,,6:00,,,,,,,,,,5120,3.785523448,-71.49712452
5546.346,,5130,12.052,9.65,Soldadura,sin costura,,,,,,,,,,,5130,3.785534067,-71.49714856
5553.753,,,,,Soporte externo,,6:00,,,,,,,,,,5130,3.78556323,-71.4972123
5558.398,,5140,12.009,9.65,Soldadura,sin costura,,,,,,,,,,,5140,3.785582406,-71.49725187
5564.667,,,,,Soporte externo,,6:00,,,,,,,,,,5140,3.785604456,-71.49730688
5570.407,,5150,11.958,9.65,Soldadura,sin costura,,,,,,,,,,,5150,3.785622263,-71.49735817
5574.342,,,,,Soporte externo,,6:00,,,,,,,,,,5150,3.785630078,-71.49739458
5582.365,,5160,11.998,9.65,Soldadura,sin costura,,,,,,,,,,,5160,3.785646011,-71.49746883
5584.467,,,,,Soporte externo,,6:00,,,,,,,,,,5160,3.785650186,-71.49748829
5594.363,,5170,12.045,9.65,Soldadura,sin costura,,,,,,,,,,,5170,3.785666415,-71.49758049
5595.027,,,,,Soporte externo,,6:00,,,,,,,,,,5170,3.785667322,-71.49758671
5604.685,,,,,Soporte externo,,6:00,,,,,,,,,,5170,3.785679393,-71.49767732
5606.408,,5180,10.421,9.65,Soldadura,sin costura,,,,,,,,,,,5180,3.785681444,-71.4976935
5614.674,,,,,Soporte externo,,6:00,,,,,,,,,,5180,3.78569079,-71.49777118
5616.829,,5190,11.965,9.65,Soldadura,sin costura,,,,,,,,,,,5190,3.7856932,-71.49779144
5628.794,,5200,11.957,9.65,Soldadura,sin costura,,,,,,,,,,,5200,3.785705287,-71.49790404
5633.279,-4.485,,,,Anomalía  / Corrosión,,6:00,EXT,GENE,11,,,,38,53,0.43,5200,3.785709798,-71.49794626
5633.585,-4.791,,,,Anomalía  / Corrosión,,7:17,EXT,PITT,11,,,,16,16,0.43,5200,3.785710106,-71.49794914
5633.700,-4.906,,,,Anomalía  / Corrosión,,4:56,EXT,AXGR,11,,,,47,19,0.44,5200,3.785710222,-71.49795022
5633.772,-4.978,,,,Anomalía  / Corrosión,,6:59,EXT,PITT,14,,,,18,15,0.43,5200,3.785710294,-71.4979509
5633.803,-5.009,,,,Anomalía  / Corrosión,,0:32,EXT,GENE,21,,,,51,40,0.44,5200,3.785710325,-71.49795119
5633.827,-5.033,,,,Anomalía  / Corrosión,,11:31,EXT,GENE,17,,,,32,55,0.43,5200,3.785710349,-71.49795141
5633.979,-5.185,,,,Anomalía  / Corrosión,,0:07,EXT,GENE,21,,,,38,70,0.44,5200,3.785710502,-71.49795284
5634.157,-5.363,,,,Anomalía  / Corrosión,,11:40,EXT,PITT,12,,,,24,44,0.43,5200,3.785710681,-71.49795452
5634.270,-5.476,,,,Anomalía  / Corrosión,,5:01,EXT,PITT,11,,,,19,16,0.43,5200,3.785710795,-71.49795558
5634.283,-5.489,,,,Anomalía  / Corrosión,,5:42,EXT,PITT,14,,,,22,32,0.43,5200,3.785710808,-71.4979557
5634.355,-5.561,,,,Anomalía  / Corrosión,,4:53,EXT,PITT,14,,,,27,23,0.43,5200,3.78571088,-71.49795638
5634.428,-5.634,,,,Anomalía  / Corrosión,,5:36,EXT,GENE,17,,,,41,51,0.44,5200,3.785710954,-71.49795707
5634.570,-5.776,,,,Anomalía  / Corrosión,,5:32,EXT,GENE,10,,,,36,35,0.43,5200,3.785711097,-71.49795841
5634.586,-5.792,,,,Anomalía  / Corrosión,,6:21,EXT,PITT,13,,,,26,22,0.43,5200,3.785711113,-71.49795856
5634.681,-5.887,,,,Anomalía  / Corrosión,,6:00,EXT,AXGR,11,,,,47,22,0.44,5200,3.785711208,-71.49795945
5634.685,-5.891,,,,Anomalía  / Corrosión,,5:15,EXT,GENE,25,,,,41,36,0.44,5200,3.785711212,-71.49795949
5634.815,-6.021,,,,Anomalía  / Corrosión,,5:00,EXT,GENE,11,,,,31,37,0.43,5200,3.785711343,-71.49796071
5634.850,-6.056,,,,Anomalía  / Corrosión,,6:12,EXT,CIGR,11,,,,23,51,0.43,5200,3.785711378,-71.49796104
5634.915,-6.121,,,,Anomalía  / Corrosión  / nota 1,,6:35,EXT,GENE,23,,,,35,60,0.44,5200,3.785711444,-71.49796165
5635.126,-6.332,,,,Anomalía  / Corrosión,,6:10,EXT,PITT,11,,,,34,29,0.43,5200,3.785711656,-71.49796364
5635.132,-6.338,,,,Anomalía  / Corrosión,,5:18,EXT,GENE,18,,,,44,41,0.44,5200,3.785711662,-71.4979637
5635.311,-6.517,,,,Anomalía  / Anomalía de Manufactura,,9:16,INT,PITT,15,,,,11,15,0.43,5200,3.785711842,-71.49796538
5635.527,-6.733,,,,Anomalía  / Corrosión,,7:28,EXT,PITT,15,,,,23,40,0.43,5200,3.785712059,-71.49796741
5636.451,-7.657,,,,Anomalía  / Corrosión,,6:37,EXT,CIGR,14,,,,20,53,0.43,5200,3.785712998,-71.49797611
5636.457,-7.663,,,,Anomalía  / Corrosión,,7:39,EXT,AXGR,14,,,,31,15,0.43,5200,3.785713004,-71.49797616
5636.519,-7.725,,,,Anomalía  / Corrosión,,6:16,EXT,GENE,11,,,,33,72,0.43,5200,3.78571307,-71.49797675
5636.536,-7.742,,,,Anomalía  / Corrosión,,7:42,EXT,PITT,13,,,,25,15,0.43,5200,3.785713088,-71.49797691
5640.751,,5210,11.971,9.65,Soldadura,sin costura,,,,,,,,,,,5210,3.785717558,-71.49801655
5646.996,,,,,Soporte externo,,6:00,,,,,,,,,,5210,3.785724259,-71.49807528
5652.722,,5220,11.991,9.65,Soldadura,sin costura,,,,,,,,,,,5220,3.7857307,-71.4981291
5654.205,,,,,Soporte externo,,6:00,,,,,,,,,,5220,3.785732368,-71.49814304
5661.458,,,,,Soporte externo,,6:00,,,,,,,,,,5220,3.785740528,-71.4982112
5664.713,,5230,12.049,9.65,Soldadura,sin costura,,,,,,,,,,,5230,3.78574419,-71.49824179
5668.409,,,,,Soporte externo,,6:00,,,,,,,,,,5230,3.785748348,-71.49827653
5675.914,,,,,Soporte externo,,6:00,,,,,,,,,,5230,3.78575679,-71.49834706
5676.762,,5240,12.042,9.65,Soldadura,sin costura,,,,,,,,,,,5240,3.785757744,-71.49835503
5682.865,,,,,Soporte externo,,6:00,,,,,,,,,,5240,3.785764611,-71.49841239
5688.804,,5250,11.971,9.65,Soldadura,sin costura,,,,,,,,,,,5250,3.785771386,-71.4984682
5689.891,,,,,Soporte externo,,6:00,,,,,,,,,,5250,3.785772629,-71.49847841
5691.730,,,,,Marcador sobre el Terreno  / Pole No. 6,,,,,,,,,,,,5250,3.785774733,-71.49849569
5697.208,,,,,Soporte externo,,6:00,,,,,,,,,,5250,3.785779432,-71.49854732
5700.776,,5260,11.966,9.65,Soldadura,sin costura,,,,,,,,,,,5260,3.785782097,-71.49858099
5704.195,,,,,Soporte externo,,6:00,,,,,,,,,,5260,3.78578214,-71.49861323
5711.210,,,,,Soporte externo,,6:00,,,,,,,,,,5260,3.785775704,-71.49867931
