dist.del reg. [m],a sold.aguas arriba [m],no.de junta,long. de junta [m],esp. [mm],evento / comentario,tipo de sold.,Pos.horaria,pared int.,dim_o,d [%],h [%],Ovality ratio,h [arruga/ond.] [mm],largo [mm],ancho [mm],ERF B31G,Junta No. Full,latitud,longitud
0.000,,20,,,"Válvula  / Batería 4 Campo Quifa, válvula de bola",,,,,,,,,,,,20,3.782208,-71.450698
0.590,,30,0.651,12.22,Soldadura,,,,,,,,,,,,30,3.782203165,-71.45070079
0.939,,,,,"Te  / 16""",,9:00,,,,,,,,,,30,3.782200305,-71.45070245
1.242,,40,11.817,9.65,Soldadura  / Cambio de espesor  / EN = 9.65 mm,sin costura,,,,,,,,,,,40,3.782197822,-71.45070388
7.662,,,,,Soporte externo,,6:00,,,,,,,,,,40,3.78214521,-71.45073429
9.927,,,,,Magneto,,0:00,,,,,,,,,,40,3.782126648,-71.45074502
10.893,-9.651,,,,Anomalía  / Corrosión  / nota 1,,9:04,EXT,PITT,10,,,,19,21,0.43,40,3.782118731,-71.45074959
11.039,,,,,Reparación  / Inicio funda soldada,,,,,,,,,,,,40,3.782117534,-71.45075029
11.299,-10.057,,,,Anomalía  / Reparada  / bajo funda,,1:17,N/A,,,,,,16,23,,40,3.782115403,-71.45075152
12.320,,,,,Reparación  / Fin funda soldada,,,,,,,,,,,,40,3.782107036,-71.45075635
13.059,,50,8.933,9.65,Soldadura,sin costura,,,,,,,,,,,50,3.782100979,-71.45075985
15.418,,,,,Reparación  / Inicio funda soldada,,,,,,,,,,,,50,3.782081646,-71.45077102
15.899,,,,,Reparación  / Fin funda soldada,,,,,,,,,,,,50,3.782077704,-71.4507733
18.986,-5.927,,,,Anomalía  / Corrosión,,5:40,EXT,CIGR,12,,,,17,37,0.43,50,3.782052405,-71.45078792
19.010,-5.951,,,,Anomalía  / Corrosión,,7:07,EXT,PITT,11,,,,19,25,0.43,50,3.782052208,-71.45078804
19.087,-6.028,,,,Anomalía  / Corrosión,,6:05,EXT,PITT,13,,,,14,25,0.43,50,3.782051577,-71.4507884
19.108,-6.049,,,,Anomalía  / Corrosión,,7:01,EXT,PITT,14,,,,26,34,0.43,50,3.782051405,-71.4507885
19.254,,,,,Reparación  / Inicio funda soldada,,,,,,,,,,,,50,3.782050209,-71.45078919
19.490,-6.431,,,,Anomalía  / Reparada  / bajo funda,,5:17,N/A,,,,,,33,15,,50,3.782048275,-71.45079031
19.499,-6.44,,,,Anomalía  / Reparada  / bajo funda,,6:07,N/A,,,,,,26,37,,50,3.782048201,-71.45079035
19.602,-6.543,,,,Anomalía  / Reparada  / bajo funda,,5:42,N/A,,,,,,18,18,,50,3.782047357,-71.45079084
19.694,-6.635,,,,Anomalía  / Reparada  / bajo funda,,5:17,N/A,,,,,,22,21,,50,3.782046603,-71.45079128
19.813,-6.754,,,,Anomalía  / Reparada  / bajo funda,,5:11,N/A,,,,,,14,15,,50,3.782045628,-71.45079184
19.849,-6.79,,,,Anomalía  / Reparada  / bajo funda,,5:08,N/A,,,,,,13,15,,50,3.782045332,-71.45079201
20.018,-6.959,,,,Anomalía  / Reparada  / bajo funda,,4:55,N/A,,,,,,23,17,,50,3.782043948,-71.45079281
20.200,,,,,Reparación  / Fin funda soldada,,,,,,,,,,,,50,3.782042456,-71.45079367
20.380,,,,,Reparación  / Inicio funda soldada,,,,,,,,,,,,50,3.782040981,-71.45079452
20.728,-7.669,,,,Anomalía  / Reparada  / bajo funda,,8:24,N/A,,,,,,31,47,,50,3.782038129,-71.45079617
20.917,,,,,Reparación  / Fin funda soldada,,,,,,,,,,,,50,3.78203658,-71.45079707
21.992,,60,4.89,9.65,Soldadura,sin costura,,,,,,,,,,,60,3.782027771,-71.45080216
26.882,,70,10.317,9.65,Soldadura,sin costura,,,,,,,,,,,70,3.781987697,-71.45082532
35.797,-8.915,,,,Anomalía  / abolladura plana  / bajo soporte,,5:21,N/A,,,1.3,,,240,152,,70,3.781914635,-71.45086754
35.877,,,,,Soporte externo,,6:00,,,,,,,,,,70,3.781913979,-71.45086792
37.199,,80,9.64,9.65,Soldadura,sin costura,,,,,,,,,,,80,3.781903144,-71.45087418
46.033,,,,,Soporte externo,,6:00,,,,,,,,,,80,3.781830749,-71.45091603
46.839,,90,11.993,9.65,Soldadura,sin costura,,,,,,,,,,,90,3.781824144,-71.45091984
55.981,,,,,Soporte externo,,6:00,,,,,,,,,,90,3.781749225,-71.45096315
58.832,,100,11.981,9.65,Soldadura,sin costura,,,,,,,,,,,100,3.78172586,-71.45097665
66.150,,,,,Soporte externo,,6:00,,,,,,,,,,100,3.781665885,-71.4510113
70.813,,110,11.987,9.65,Soldadura,sin costura,,,,,,,,,,,110,3.781625018,-71.4510279
76.124,,,,,Soporte externo,,6:00,,,,,,,,,,110,3.781578204,-71.4510462
82.800,,120,2.053,9.65,Soldadura,sin costura,,,,,,,,,,,120,3.781517838,-71.45106489
84.853,,130,12.004,9.65,Soldadura,sin costura,,,,,,,,,,,130,3.781499275,-71.45107063
86.243,,,,,Soporte externo,,6:00,,,,,,,,,,130,3.781486707,-71.45107452
96.684,,,,,Soporte externo,,6:00,,,,,,,,,,130,3.7813923,-71.45110376
96.856,,140,8.135,9.65,Soldadura,sin costura,,,,,,,,,,,140,3.781390745,-71.45110424
104.991,,150,11.993,9.65,Soldadura,sin costura,,,,,,,,,,,150,3.781317187,-71.45112701
107.056,,,,,Soporte externo,,6:00,,,,,,,,,,150,3.781298515,-71.45113279
116.528,,,,,Soporte externo,,6:00,,,,,,,,,,150,3.781212868,-71.4511593
116.984,,160,2.44,9.65,Soldadura,sin costura,,,,,,,,,,,160,3.781208745,-71.45116057
119.424,,170,11.991,9.65,Soldadura,sin costura,,,,,,,,,,,170,3.781186682,-71.4511674
126.698,,,,,Soporte externo,,6:00,,,,,,,,,,170,3.781120643,-71.45118685
131.415,,180,11.982,9.65,Soldadura,sin costura,,,,,,,,,,,180,3.781077617,-71.45119878
136.826,,,,,Soporte externo,,6:00,,,,,,,,,,180,3.78102824,-71.45121239
143.397,,190,12.01,9.65,Soldadura,sin costura,,,,,,,,,,,190,3.780968269,-71.45122888
144.717,-1.32,,,,Anomalía  / Anomalía de Manufactura,,8:19,INT,PITT,12,,,,11,15,0.43,190,3.780956222,-71.45123219
147.029,,,,,Soporte externo,,6:00,,,,,,,,,,190,3.780935121,-71.45123799
155.407,,200,12.019,9.65,Soldadura,sin costura,,,,,,,,,,,200,3.780858657,-71.45125902
157.456,,,,,Soporte externo,,6:00,,,,,,,,,,200,3.780839957,-71.45126416
167.127,,,,,Soporte externo,,6:00,,,,,,,,,,200,3.780751748,-71.45128863
167.426,,210,10.805,9.65,Soldadura,sin costura,,,,,,,,,,,210,3.780749022,-71.45128939
177.546,,,,,Soporte externo,,6:00,,,,,,,,,,210,3.780656888,-71.4513156
178.231,,220,9.41,9.65,Soldadura,sin costura,,,,,,,,,,,220,3.780650656,-71.45131739
187.641,,230,9.394,9.65,Soldadura,sin costura,,,,,,,,,,,230,3.780565048,-71.45134198
197.035,,240,9.371,9.65,Soldadura,sin costura,,,,,,,,,,,240,3.780479881,-71.45136753
198.162,,,,,Soporte externo,,6:00,,,,,,,,,,240,3.780469674,-71.45137063
206.406,,250,10.615,9.65,Soldadura,sin costura,,,,,,,,,,,250,3.780400755,-71.45140673
217.021,,260,10.883,9.65,Soldadura,sin costura,,,,,,,,,,,260,3.780313387,-71.45145635
217.865,,,,,Soporte externo,,6:00,,,,,,,,,,260,3.780306444,-71.4514603
219.636,,,,,Soporte externo,,6:00,,,,,,,,,,260,3.780291901,-71.45146863
227.904,,270,12.234,9.65,Soldadura,sin costura,,,,,,,,,,,270,3.780224059,-71.45150765
231.604,,,,,Soporte externo,,6:00,,,,,,,,,,270,3.7801937,-71.45152511
233.389,,,,,Soporte externo,,6:00,,,,,,,,,,270,3.780179053,-71.45153353
240.137,,280,12.238,9.65,Soldadura,sin costura,,,,,,,,,,,280,3.780123684,-71.45156538
247.931,,,,,Soporte externo,,6:00,,,,,,,,,,280,3.780059732,-71.45160215
249.733,,,,,Soporte externo,,6:00,,,,,,,,,,280,3.780044947,-71.45161066
252.375,,290,12.223,9.65,Soldadura,sin costura,,,,,,,,,,,290,3.78002327,-71.45162313
260.364,,,,,Soporte externo,,6:00,,,,,,,,,,290,3.77995772,-71.45166083
262.180,,,,,Soporte externo,,6:00,,,,,,,,,,290,3.779942819,-71.4516694
264.598,,300,12.205,9.65,Soldadura,sin costura,,,,,,,,,,,300,3.779922979,-71.45168081
273.213,,,,,Soporte externo,,6:00,,,,,,,,,,300,3.77985229,-71.45172146
274.912,,,,,Soporte externo,,6:00,,,,,,,,,,300,3.779838349,-71.45172948
276.803,,310,12.208,9.65,Soldadura,sin costura,,,,,,,,,,,310,3.779822833,-71.4517384
285.192,,,,,Soporte externo,,6:00,,,,,,,,,,310,3.779753999,-71.45177799
286.999,,,,,Soporte externo,,6:00,,,,,,,,,,310,3.779739172,-71.45178652
289.011,,320,12.21,9.65,Soldadura,sin costura,,,,,,,,,,,320,3.779722663,-71.45179601
296.087,,,,,Soporte externo,,6:00,,,,,,,,,,320,3.779664621,-71.45182943
297.894,,,,,Soporte externo,,6:00,,,,,,,,,,320,3.779649815,-71.451838
301.221,,330,11.994,9.65,Soldadura,sin costura,,,,,,,,,,,330,3.779622553,-71.45185376
306.386,-5.165,,,,Anomalía  / abolladura plana  / +OVAL,,4:51,N/A,,,1.4,,,504,213,,330,3.77958027,-71.4518783
307.206,,,,,Soporte externo,,6:00,,,,,,,,,,330,3.779573563,-71.45188221
313.215,,340,11.996,9.65,Soldadura,sin costura,,,,,,,,,,,340,3.779524419,-71.45191084
317.706,-4.491,,,,Anomalía  / abolladura plana  / +OVAL,,10:55,N/A,,,1.7,,,670,243,,340,3.779487689,-71.45193224
318.247,,,,,Soporte externo,,6:00,,,,,,,,,,340,3.779483265,-71.45193482
318.579,-5.364,,,,Anomalía  / abolladura plana  / +OVAL,,10:56,N/A,,,1.7,,,537,213,,340,3.779480549,-71.4519364
325.211,,350,6.775,9.65,Soldadura,sin costura,,,,,,,,,,,350,3.779426242,-71.45196789
330.271,,,,,Soporte externo,,6:00,,,,,,,,,,350,3.779384711,-71.45199174
331.986,,360,11.951,9.65,Soldadura,sin costura,,,,,,,,,,,360,3.779370634,-71.45199983
337.646,,,,,Soporte externo,,6:00,,,,,,,,,,360,3.779324007,-71.45202621
343.937,,370,11.986,9.65,Soldadura,sin costura,,,,,,,,,,,370,3.779272167,-71.45205551
347.646,,,,,Soporte externo,,6:00,,,,,,,,,,370,3.779241604,-71.45207279
355.923,,380,12.017,9.65,Soldadura,sin costura,,,,,,,,,,,380,3.7791734,-71.45211134
357.877,,,,,Soporte externo,,6:00,,,,,,,,,,380,3.779157299,-71.45212044
367.940,,390,12.209,9.65,Soldadura,sin costura,,,,,,,,,,,390,3.779074702,-71.45216788
368.542,,,,,Soporte externo,,6:00,,,,,,,,,,390,3.779069769,-71.45217073
378.288,,,,,Soporte externo,,6:00,,,,,,,,,,390,3.778988724,-71.45221478
380.149,,400,11.994,9.65,Soldadura,sin costura,,,,,,,,,,,400,3.778973056,-71.45222279
388.461,,,,,Soporte externo,,6:00,,,,,,,,,,400,3.778899444,-71.45225056
392.143,,410,12.004,9.65,Soldadura,sin costura,,,,,,,,,,,410,3.778866835,-71.45226286
398.467,,,,,Soporte externo,,6:00,,,,,,,,,,410,3.778810828,-71.45228399
404.147,,420,12.138,9.65,Soldadura,sin costura,,,,,,,,,,,420,3.778760523,-71.45230296
408.711,,,,,Soporte externo,,6:00,,,,,,,,,,420,3.778720102,-71.4523182
416.285,,430,12.193,9.65,Soldadura,sin costura,,,,,,,,,,,430,3.778653024,-71.45234351
418.889,,,,,Soporte externo,,6:00,,,,,,,,,,430,3.778629956,-71.45235219
428.477,,440,11.985,9.65,Soldadura,sin costura,,,,,,,,,,,440,3.778544975,-71.45238404
429.076,,,,,Soporte externo,,6:00,,,,,,,,,,440,3.778539663,-71.45238602
439.331,,,,,Soporte externo,,6:00,,,,,,,,,,440,3.778448726,-71.45241997
440.462,,450,11.683,9.65,Soldadura,sin costura,,,,,,,,,,,450,3.778438697,-71.45242372
449.376,,,,,Soporte externo,,6:00,,,,,,,,,,450,3.778359652,-71.45245323
452.145,,460,12.188,9.65,Soldadura,sin costura,,,,,,,,,,,460,3.778335098,-71.4524624
459.568,,,,,Soporte externo,,6:00,,,,,,,,,,460,3.778269273,-71.45248697
464.334,,470,12.192,9.65,Soldadura,sin costura,,,,,,,,,,,470,3.77822701,-71.45250275
469.715,,,,,Soporte externo,,6:00,,,,,,,,,,470,3.778179294,-71.45252056
476.526,,480,12.011,9.65,Soldadura,sin costura,,,,,,,,,,,480,3.778118898,-71.45254311
479.952,,,,,Soporte externo,,6:00,,,,,,,,,,480,3.778088517,-71.45255446
488.537,,490,2.07,9.65,Soldadura,sin costura,,,,,,,,,,,490,3.77801239,-71.45258288
490.005,,,,,Soporte externo,,6:00,,,,,,,,,,490,3.777999372,-71.45258774
490.607,,500,12.182,9.65,Soldadura,sin costura,,,,,,,,,,,500,3.777994034,-71.45258973
500.277,,,,,Soporte externo,,6:00,,,,,,,,,,500,3.777908312,-71.45262182
502.790,,510,12.178,9.65,Soldadura,sin costura,,,,,,,,,,,510,3.777886038,-71.45263017
510.272,,,,,Soporte externo,,6:00,,,,,,,,,,510,3.777819754,-71.45265511
514.967,,520,12.169,9.65,Soldadura,sin costura,,,,,,,,,,,520,3.777778161,-71.45267076
520.495,,,,,Soporte externo,,6:00,,,,,,,,,,520,3.77772919,-71.45268919
527.136,,530,12.158,9.65,Soldadura,sin costura,,,,,,,,,,,530,3.77767036,-71.45271133
530.534,,,,,Soporte externo,,6:00,,,,,,,,,,530,3.777640258,-71.45272266
531.910,,,,,Marcador sobre el Terreno  / Pole No. 1,,,,,,,,,,,,530,3.777628069,-71.45272725
539.293,,540,11.976,9.65,Soldadura,sin costura,,,,,,,,,,,540,3.777562664,-71.45275187
540.693,,,,,Soporte externo,,6:00,,,,,,,,,,540,3.777550261,-71.45275653
550.779,,,,,Soporte externo,,6:00,,,,,,,,,,540,3.777460911,-71.45279016
551.269,,550,2.996,9.65,Soldadura,sin costura,,,,,,,,,,,550,3.77745657,-71.45279179
554.265,,560,12.178,9.65,Soldadura,sin costura,,,,,,,,,,,560,3.77743003,-71.45280178
560.938,,,,,Soporte externo,,6:00,,,,,,,,,,560,3.777370917,-71.45282404
566.443,,570,11.998,9.65,Soldadura,sin costura,,,,,,,,,,,570,3.777322149,-71.45284239
571.132,,,,,Soporte externo,,6:00,,,,,,,,,,570,3.77728061,-71.45285802
578.441,,580,2.719,9.65,Soldadura,sin costura,,,,,,,,,,,580,3.77721586,-71.45288239
581.160,,590,12.184,9.65,Soldadura,sin costura,,,,,,,,,,,590,3.777191773,-71.45289145
581.731,,,,,Soporte externo,,6:00,,,,,,,,,,590,3.777186715,-71.45289336
591.832,,,,,Soporte externo,,6:00,,,,,,,,,,590,3.777097234,-71.45292704
593.344,,600,12.176,9.65,Soldadura,sin costura,,,,,,,,,,,600,3.77708384,-71.45293208
602.098,,,,,Soporte externo,,6:00,,,,,,,,,,600,3.77700625,-71.45296116
605.520,,610,11.984,9.65,Soldadura,sin costura,,,,,,,,,,,610,3.776975901,-71.45297248
617.504,,620,12.006,9.65,Soldadura,sin costura,,,,,,,,,,,620,3.77686955,-71.45301193
620.017,-2.513,,,,Anomalía  / Corrosión,,6:55,EXT,PITT,11,,,,37,26,0.43,620,3.776847244,-71.4530202
620.689,-3.185,,,,Anomalía  / Corrosión,,5:06,EXT,PITT,11,,,,39,23,0.43,620,3.77684128,-71.45302241
621.989,-4.485,,,,Anomalía  / Corrosión,,11:32,EXT,PITT,10,,,,22,30,0.43,620,3.776829741,-71.45302668
622.873,-5.369,,,,Anomalía  / Corrosión,,4:23,EXT,GENE,11,,,,31,44,0.43,620,3.776821894,-71.45302959
625.497,-7.993,,,,Anomalía  / Corrosión,,8:28,EXT,PITT,13,,,,21,31,0.43,620,3.776798604,-71.45303821
629.142,-11.638,,,,Anomalía  / Corrosión,,6:33,EXT,PITT,19,,,,21,30,0.43,620,3.776766251,-71.4530502
629.511,,630,11.996,9.65,Soldadura,sin costura,,,,,,,,,,,630,3.776762976,-71.45305141
637.175,-7.664,,,,Anomalía  / Corrosión,,4:10,EXT,PITT,11,,,,27,31,0.43,630,3.776694953,-71.45307662
637.368,-7.857,,,,Anomalía  / Corrosión,,3:05,EXT,AXGR,11,,,,54,15,0.44,630,3.77669324,-71.45307725
637.501,-7.99,,,,Anomalía  / Corrosión,,3:28,EXT,AXGR,10,,,,52,15,0.44,630,3.776692059,-71.45307769
638.408,-8.897,,,,Anomalía  / Corrosión,,4:10,EXT,GENE,11,,,,45,46,0.44,630,3.776684009,-71.45308067
639.104,-9.593,,,,Anomalía  / Corrosión,,9:35,EXT,PITT,11,,,,20,27,0.43,630,3.776677832,-71.45308296
640.067,-10.556,,,,Anomalía  / Corrosión,,9:29,EXT,PITT,10,,,,27,21,0.43,630,3.776669284,-71.45308613
640.298,-10.787,,,,Anomalía  / Corrosión,,9:54,EXT,GENE,23,,,,35,35,0.44,630,3.776667234,-71.45308689
640.318,-10.807,,,,Anomalía  / Corrosión,,8:46,EXT,GENE,12,,,,30,42,0.43,630,3.776667056,-71.45308696
640.403,-10.892,,,,Anomalía  / Corrosión,,4:18,EXT,PITT,18,,,,43,24,0.44,630,3.776666302,-71.45308723
640.480,-10.969,,,,Anomalía  / Corrosión,,9:35,EXT,GENE,12,,,,44,34,0.44,630,3.776665619,-71.45308749
640.653,-11.142,,,,Anomalía  / Corrosión,,9:21,EXT,PITT,17,,,,21,27,0.43,630,3.776664083,-71.45308806
640.654,-11.143,,,,Anomalía  / Corrosión,,10:20,EXT,GENE,15,,,,54,37,0.44,630,3.776664074,-71.45308806
640.674,-11.163,,,,Anomalía  / Corrosión,,3:35,EXT,PITT,14,,,,18,18,0.43,630,3.776663897,-71.45308813
641.507,,640,11.903,9.65,Soldadura,sin costura,,,,,,,,,,,640,3.776656503,-71.45309087
641.992,-0.485,,,,Anomalía  / Corrosión,,3:22,EXT,PITT,12,,,,28,15,0.43,640,3.776652199,-71.45309246
642.592,-1.085,,,,Anomalía  / Corrosión,,4:51,EXT,PITT,15,,,,21,20,0.43,640,3.776646873,-71.45309443
642.870,-1.363,,,,Anomalía  / Corrosión,,5:50,EXT,PITT,11,,,,13,17,0.43,640,3.776644406,-71.45309535
642.893,-1.386,,,,Anomalía  / Corrosión,,6:12,EXT,AXGR,12,,,,44,15,0.44,640,3.776644202,-71.45309542
643.108,-1.601,,,,Anomalía  / Corrosión,,7:15,EXT,GENE,12,,,,32,51,0.43,640,3.776642293,-71.45309613
643.119,-1.612,,,,Anomalía  / Corrosión,,6:40,EXT,PITT,16,,,,17,15,0.43,640,3.776642196,-71.45309617
643.299,-1.792,,,,Anomalía  / Corrosión,,5:17,EXT,PITT,12,,,,12,15,0.43,640,3.776640598,-71.45309676
643.473,-1.966,,,,Anomalía  / Corrosión,,6:37,EXT,PITT,16,,,,14,18,0.43,640,3.776639054,-71.45309733
643.517,-2.01,,,,Anomalía  / Corrosión,,5:13,EXT,PITT,11,,,,11,15,0.43,640,3.776638663,-71.45309748
643.548,-2.041,,,,Anomalía  / Corrosión,,5:26,EXT,PITT,18,,,,10,15,0.43,640,3.776638388,-71.45309758
643.574,-2.067,,,,Anomalía  / Corrosión,,6:56,EXT,PITT,15,,,,20,15,0.43,640,3.776638157,-71.45309766
643.582,-2.075,,,,Anomalía  / Corrosión,,4:30,EXT,PITT,15,,,,19,24,0.43,640,3.776638086,-71.45309769
643.608,-2.101,,,,Anomalía  / Corrosión,,5:23,EXT,CIGR,20,,,,14,30,0.43,640,3.776637855,-71.45309778
643.613,-2.106,,,,Anomalía  / Corrosión,,5:51,EXT,PITT,24,,,,14,15,0.43,640,3.776637811,-71.45309779
643.621,-2.114,,,,Anomalía  / Corrosión,,6:42,EXT,PITT,22,,,,10,17,0.43,640,3.77663774,-71.45309782
643.621,-2.114,,,,Anomalía  / Corrosión,,6:11,EXT,PITT,20,,,,11,15,0.43,640,3.77663774,-71.45309782
643.647,-2.14,,,,Anomalía  / Corrosión,,6:07,EXT,PITT,20,,,,10,15,0.43,640,3.776637509,-71.4530979
643.658,-2.151,,,,Anomalía  / Corrosión,,4:31,EXT,GENE,12,,,,48,125,0.44,640,3.776637412,-71.45309794
643.662,-2.155,,,,Anomalía  / Corrosión,,6:08,EXT,CIGR,23,,,,12,36,0.43,640,3.776637376,-71.45309795
643.675,-2.168,,,,Anomalía  / Corrosión,,5:52,EXT,PITT,15,,,,13,15,0.43,640,3.776637261,-71.453098
643.700,-2.193,,,,Anomalía  / Corrosión,,7:05,EXT,PITT,15,,,,18,17,0.43,640,3.776637039,-71.45309808
643.709,-2.202,,,,Anomalía  / Corrosión,,5:56,EXT,CISL,13,,,,8,24,0.43,640,3.776636959,-71.45309811
643.740,-2.233,,,,Anomalía  / Corrosión,,4:52,EXT,PITT,16,,,,22,27,0.43,640,3.776636684,-71.45309821
643.777,-2.27,,,,Anomalía  / Corrosión,,5:44,EXT,PITT,16,,,,14,15,0.43,640,3.776636355,-71.45309833
643.790,-2.283,,,,Anomalía  / Corrosión,,8:16,EXT,PITT,17,,,,16,30,0.43,640,3.77663624,-71.45309837
643.824,-2.317,,,,Anomalía  / Corrosión,,8:34,EXT,GENE,13,,,,32,32,0.43,640,3.776635938,-71.45309849
643.846,-2.339,,,,Anomalía  / Corrosión,,3:34,EXT,PITT,21,,,,18,20,0.43,640,3.776635743,-71.45309856
643.847,-2.34,,,,Anomalía  / Corrosión,,5:47,EXT,PITT,14,,,,13,20,0.43,640,3.776635734,-71.45309856
643.848,-2.341,,,,Anomalía  / Corrosión,,6:35,EXT,PITT,20,,,,14,25,0.43,640,3.776635725,-71.45309856
643.893,-2.386,,,,Anomalía  / Corrosión,,3:43,EXT,PITT,22,,,,21,21,0.43,640,3.776635326,-71.45309871
644.037,-2.53,,,,Anomalía  / Corrosión,,4:58,EXT,PITT,12,,,,14,23,0.43,640,3.776634048,-71.45309919
644.446,-2.939,,,,Anomalía  / Corrosión,,5:18,EXT,PITT,14,,,,29,19,0.43,640,3.776630418,-71.45310053
653.409,,650,4.279,9.65,Soldadura,sin costura,,,,,,,,,,,650,3.776550865,-71.45313001
657.688,,660,12.004,9.65,Soldadura,sin costura,,,,,,,,,,,660,3.7765131,-71.45314464
669.692,,670,12.032,9.65,Soldadura,sin costura,,,,,,,,,,,670,3.776407606,-71.45318684
673.568,,,,,Soporte externo,,6:00,,,,,,,,,,670,3.776373551,-71.45320049
681.723,,680,12.152,9.65,Soldadura,sin costura,,,,,,,,,,,680,3.776301896,-71.45322919
686.181,,,,,Soporte externo,,6:00,,,,,,,,,,680,3.776268881,-71.45325367
692.324,,,,,Soporte externo,,6:00,,,,,,,,,,680,3.77623407,-71.45329858
693.875,,690,12.171,9.65,Soldadura,sin costura,,,,,,,,,,,690,3.776233749,-71.45331326
694.109,,,,,Soporte externo,,6:00,,,,,,,,,,690,3.7762337,-71.45331547
705.026,,,,,Soporte externo,,6:00,,,,,,,,,,690,3.776237356,-71.45341843
706.046,,700,12.231,9.65,Soldadura,sin costura,,,,,,,,,,,700,3.776238707,-71.45342799
706.830,,,,,Soporte externo,,6:00,,,,,,,,,,700,3.776239745,-71.45343534
712.688,,,,,Soporte externo,,6:00,,,,,,,,,,700,3.77625325,-71.45348858
714.490,,,,,Soporte externo,,6:00,,,,,,,,,,700,3.776260234,-71.45350414
718.278,,710,12.038,9.65,Soldadura,sin costura,,,,,,,,,,,710,3.776274915,-71.45353685
722.014,,,,,Soporte externo,,6:00,,,,,,,,,,710,3.776289394,-71.45356911
730.315,,720,12.239,9.65,Soldadura,sin costura,,,,,,,,,,,720,3.776321566,-71.4536408
730.518,,,,,Soporte externo,,6:00,,,,,,,,,,720,3.776322353,-71.45364255
738.814,,,,,Soporte externo,,6:00,,,,,,,,,,720,3.776354505,-71.45371419
740.596,,,,,Soporte externo,,6:00,,,,,,,,,,720,3.776361395,-71.45372959
742.554,,730,12.24,9.65,Soldadura,sin costura,,,,,,,,,,,730,3.776368965,-71.45374651
748.093,,,,,Soporte externo,,6:00,,,,,,,,,,730,3.776390379,-71.45379436
754.793,,740,12.234,9.65,Soldadura,sin costura,,,,,,,,,,,740,3.77641615,-71.45385231
756.345,,,,,Soporte externo,,6:00,,,,,,,,,,740,3.776422118,-71.45386573
765.363,,,,,Soporte externo,,6:00,,,,,,,,,,740,3.776456797,-71.45394373
767.027,,750,12.214,9.65,Soldadura,sin costura,,,,,,,,,,,750,3.776463197,-71.45395812
771.523,,,,,Soporte externo,,6:00,,,,,,,,,,750,3.776480485,-71.45399701
779.241,,760,3.67,9.65,Soldadura,sin costura,,,,,,,,,,,760,3.776510165,-71.45406376
782.911,,770,12.028,9.65,Soldadura,sin costura,,,,,,,,,,,770,3.776524279,-71.4540955
783.370,,,,,Soporte externo,,6:00,,,,,,,,,,770,3.776526044,-71.45409947
791.976,,,,,Soporte externo,,6:00,,,,,,,,,,770,3.776559138,-71.45417391
794.939,,780,12.236,9.65,Soldadura,sin costura,,,,,,,,,,,780,3.776570532,-71.45419953
802.475,,,,,Soporte externo,,6:00,,,,,,,,,,780,3.776599511,-71.45426471
807.175,,790,7.15,9.65,Soldadura,sin costura,,,,,,,,,,,790,3.776617585,-71.45430536
812.514,,,,,Soporte externo,,6:00,,,,,,,,,,790,3.776638117,-71.45435154
814.325,,800,12.079,9.65,Soldadura,sin costura,,,,,,,,,,,800,3.776645082,-71.4543672
822.911,,,,,Soporte externo,,6:00,,,,,,,,,,800,3.776678044,-71.45444149
826.404,,810,12.182,9.65,Soldadura,sin costura,,,,,,,,,,,810,3.776691422,-71.45447172
832.981,,,,,Soporte externo,,6:00,,,,,,,,,,810,3.776716568,-71.45452867
838.586,,820,12.142,9.65,Soldadura,sin costura,,,,,,,,,,,820,3.776737998,-71.45457721
843.057,,,,,Soporte externo,,6:00,,,,,,,,,,820,3.776755093,-71.45461592
850.728,,830,2.747,9.65,Soldadura,sin costura,,,,,,,,,,,830,3.776784425,-71.45468234
853.102,,,,,Soporte externo,,6:00,,,,,,,,,,830,3.776793488,-71.4547029
853.476,,840,12.05,9.65,Soldadura,sin costura,,,,,,,,,,,840,3.776794892,-71.45470615
862.438,,,,,Soporte externo,,6:00,,,,,,,,,,840,3.776828539,-71.45478402
864.721,,,,,Accesorio de tubería  / aditamento,,9:00,,,,,,,,,,840,3.776836983,-71.45480392
865.526,,850,11.557,9.65,Soldadura,sin costura,,,,,,,,,,,850,3.77683996,-71.45481093
873.289,,,,,Soporte externo,,6:00,,,,,,,,,,850,3.776868673,-71.45487857
874.852,,,,,Accesorio de tubería  / aditamento,,9:00,,,,,,,,,,850,3.776874453,-71.45489219
877.083,,860,11.993,9.65,Soldadura,sin costura,,,,,,,,,,,860,3.776882704,-71.45491162
883.541,,,,,Soporte externo,,6:00,,,,,,,,,,860,3.776906589,-71.45496789
885.011,,,,,Accesorio de tubería  / aditamento,,9:00,,,,,,,,,,860,3.776912026,-71.4549807
889.075,,870,12.161,9.65,Soldadura,sin costura,,,,,,,,,,,870,3.776927058,-71.45501611
893.689,,,,,Soporte externo,,6:00,,,,,,,,,,870,3.776944793,-71.45505602
901.236,,880,11.889,9.65,Soldadura,sin costura,,,,,,,,,,,880,3.776974964,-71.45512075
903.806,,,,,Soporte externo,,6:00,,,,,,,,,,880,3.776986428,-71.45514221
913.125,,890,12.024,9.65,Soldadura,sin costura,,,,,,,,,,,890,3.777027996,-71.45522001
